0,1,2
1,0.244,0.175,0.139
2,0.059,0.07,0.071
3,0.015,0.026,0.033
4,0.014,0.025,0.031
5,0.002,0.009,0.014
6,0.005,0.011,0.016
7,0.003,0.007,0.008
8,0.004,0.009,0.011
